test_match_cond,speaker_identity,trial_sequence_total,list_number,phase,condition,Answer.time_in_minutes,wrong_attempts,block_sequence,workerid,item_number,island_tested,response,Answer.condition,comp_question_exist,first_response_value,comp_answer
mismatch,Thomas,41,1,exposure,SUBJ,12.01795,,14,0,35,SUBJ,0.98,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,42,1,exposure,UNGRAM,12.01795,,14,0,127,SUBJ,0.05,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,43,1,exposure,FILL,12.01795,,15,0,110,SUBJ,0.96,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,44,1,exposure,UNGRAM,12.01795,,15,0,125,SUBJ,0.05,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,45,1,exposure,SUBJ,12.01795,,15,0,29,SUBJ,0.94,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,46,2,test,UNGRAM,12.01795,,101,0,142,SUBJ,0.08,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,47,2,test,SUBJ,12.01795,,101,0,9,SUBJ,0.21,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,48,2,test,FILL,12.01795,,101,0,133,SUBJ,0.94,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,49,2,test,FILL,12.01795,,102,0,136,SUBJ,0.94,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,50,2,test,SUBJ,12.01795,,102,0,18,SUBJ,0.44,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,51,2,test,UNGRAM,12.01795,,102,0,145,SUBJ,0.06,undefined,1,,Iron-Head
,,,,,,,,,,,,,,,,
mismatch,Thomas,52,2,test,FILL,12.01795,,103,0,132,SUBJ,0.97,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,53,2,test,SUBJ,12.01795,,103,0,6,SUBJ,0.93,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,54,2,test,UNGRAM,12.01795,,103,0,141,SUBJ,0.03,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,55,2,test,FILL,12.01795,,104,0,131,SUBJ,0.93,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,56,2,test,SUBJ,12.01795,,104,0,3,SUBJ,0.58,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,57,2,test,UNGRAM,12.01795,,104,0,140,SUBJ,0.04,undefined,1,,Iron-Head
,,,,,,,,,,,,,,,,
mismatch,Thomas,58,2,test,FILL,12.01795,,105,0,134,SUBJ,0.97,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,59,2,test,UNGRAM,12.01795,,105,0,143,SUBJ,0.05,undefined,1,,Iron-Head
,,,,,,,,,,,,,,,,
mismatch,Gregory,60,2,test,SUBJ,12.01795,,105,0,12,SUBJ,0.81,undefined,1,,Gregory
,,,,,,,,,,,,,,,,
mismatch,Thomas,61,2,test,FILL,12.01795,,106,0,135,SUBJ,0.89,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,62,2,test,UNGRAM,12.01795,,106,0,144,SUBJ,0.08,undefined,1,,Iron-Head
,,,,,,,,,,,,,,,,
mismatch,Gregory,63,2,test,SUBJ,12.01795,,106,0,15,SUBJ,0.9,undefined,0,,/
,,,,,,,,,,,,,,,,
,,0,practice,,practice_good,15.03465,0,practice,1,practice_good,,0.95,undefined,,,
,,,,,,,,,,,,,,,,
,,0,practice,,practice_bad,15.03465,0,practice,1,practice_bad,,0.02,undefined,,,
,,,,,,,,,,,,,,,,
mismatch,Thomas,1,1,exposure,FILL,15.03465,,1,1,103,WH,0.9,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,2,1,exposure,WH,15.03465,,1,1,9,WH,0.41,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,3,1,exposure,UNGRAM,15.03465,,1,1,118,WH,0.01,undefined,1,,Iron-Head
,,,,,,,,,,,,,,,,
mismatch,Thomas,4,1,exposure,FILL,15.03465,,2,1,112,WH,0.98,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,5,1,exposure,WH,15.03465,,2,1,36,WH,0.47,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,6,1,exposure,UNGRAM,15.03465,,2,1,127,WH,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,7,1,exposure,WH,15.03465,,3,1,15,WH,0.61,undefined,1,,Emily
,,,,,,,,,,,,,,,,
mismatch,Thomas,8,1,exposure,FILL,15.03465,,3,1,105,WH,0.98,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,9,1,exposure,UNGRAM,15.03465,,3,1,120,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,10,1,exposure,WH,15.03465,,4,1,33,WH,0.49,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,11,1,exposure,FILL,15.03465,,4,1,111,WH,0.8,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,12,1,exposure,UNGRAM,15.03465,,4,1,126,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,13,1,exposure,UNGRAM,15.03465,,5,1,129,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,14,1,exposure,WH,15.03465,,5,1,42,WH,0.52,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,15,1,exposure,FILL,15.03465,,5,1,114,WH,0.99,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Thomas,16,1,exposure,FILL,15.03465,,6,1,107,WH,0.89,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,17,1,exposure,UNGRAM,15.03465,,6,1,122,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,18,1,exposure,WH,15.03465,,6,1,21,WH,0.37,undefined,1,,Emily
,,,,,,,,,,,,,,,,
mismatch,Thomas,19,1,exposure,FILL,15.03465,,7,1,109,WH,0.95,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,20,1,exposure,WH,15.03465,,7,1,27,WH,0.58,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,21,1,exposure,UNGRAM,15.03465,,7,1,124,WH,0.02,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,22,1,exposure,FILL,15.03465,,8,1,101,WH,0.98,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,23,1,exposure,WH,15.03465,,8,1,3,WH,0.62,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,24,1,exposure,UNGRAM,15.03465,,8,1,116,WH,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,25,1,exposure,FILL,15.03465,,9,1,115,WH,0.89,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,26,1,exposure,UNGRAM,15.03465,,9,1,130,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,27,1,exposure,WH,15.03465,,9,1,45,WH,0.42,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,28,1,exposure,FILL,15.03465,,10,1,102,WH,0.97,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,29,1,exposure,WH,15.03465,,10,1,6,WH,0.34,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,30,1,exposure,UNGRAM,15.03465,,10,1,117,WH,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,31,1,exposure,WH,15.03465,,11,1,30,WH,0.42,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,32,1,exposure,FILL,15.03465,,11,1,110,WH,0.99,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,33,1,exposure,UNGRAM,15.03465,,11,1,125,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,34,1,exposure,FILL,15.03465,,12,1,104,WH,0.94,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Emily,35,1,exposure,WH,15.03465,,12,1,12,WH,0.59,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,36,1,exposure,UNGRAM,15.03465,,12,1,119,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,37,1,exposure,UNGRAM,15.03465,,13,1,128,WH,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,38,1,exposure,FILL,15.03465,,13,1,113,WH,0.91,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,39,1,exposure,WH,15.03465,,13,1,39,WH,0.33,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,40,1,exposure,FILL,15.03465,,14,1,106,WH,0.93,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Emily,41,1,exposure,WH,15.03465,,14,1,18,WH,0.46,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,42,1,exposure,UNGRAM,15.03465,,14,1,121,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,43,1,exposure,WH,15.03465,,15,1,24,WH,0.68,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,44,1,exposure,UNGRAM,15.03465,,15,1,123,WH,0,undefined,1,,Iron-Head
,,,,,,,,,,,,,,,,
mismatch,Thomas,45,1,exposure,FILL,15.03465,,15,1,108,WH,0.98,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Thomas,46,2,test,WH,15.03465,,101,1,4,WH,0.22,undefined,0,,/
,,,,,,,,,,,,,,,,
